term,TopCut_highestMinuslogP_up,maximum_MinuslogP_up,sum_MinuslogP_up,times_significant_up,FirstTopCut_significant_up,PEBBA_score_up
Fertilization,100,-0.0,0.0,0.0,0,0.0
Reproduction,100,-0.0,0.0,0.0,0,0.0
Miscellaneous transport and binding events,100,-0.0,0.0,0.0,0,0.0
Uptake and actions of bacterial toxins,1500,0.22989479564991924,0.547373001998805,0.0,0,0.04214724125173932
Dopamine Neurotransmitter Release Cycle,100,-0.0,0.0,0.0,0,0.0
Serotonin Neurotransmitter Release Cycle,100,-0.0,0.0,0.0,0,0.0
Norepinephrine Neurotransmitter Release Cycle,100,-0.0,0.0,0.0,0,0.0
Acetylcholine Neurotransmitter Release Cycle,100,-0.0,0.0,0.0,0,0.0
Glutamate Neurotransmitter Release Cycle,100,-0.0,0.0,0.0,0,0.0
Neurotransmitter Release Cycle,100,-0.0,0.0,0.0,0,0.0
GABA synthesis release reuptake and degradation,100,-0.0,0.0,0.0,0,0.0
Na+slashCl_ dependent neurotransmitter transporters,100,-0.0,0.0,0.0,0,0.0
Amine compound SLC transporters,100,-0.0,0.0,0.0,0,0.0
Transport of inorganic cationsslashanions and amino acidsslasholigopeptides,750,0.2602171608125759,0.836196229710712,0.0,0,0.06128365017371748
Amino acid transport across the plasma membrane,750,0.460298780269238,2.912748100915734,0.0,0,0.0986742843888768
Amino acid and oligopeptide SLC transporters,750,0.3279722151162562,1.821704725562346,0.0,0,0.0747916354822419
Zinc transporters,100,-0.0,0.0,0.0,0,0.0
Metal ion SLC transporters,100,-0.0,0.0,0.0,0,0.0
Amino acid synthesis and interconversion transamination,100,-0.0,0.0,0.0,0,0.0
Transport of vitamins nucleosides and related molecules,100,-0.0,0.0,0.0,0,0.0
Disorders of transmembrane transporters,100,-0.0,0.0,0.0,0,0.0
Surfactant metabolism,100,-0.0,0.0,0.0,0,0.0
ABC transporters in lipid homeostasis,100,-0.0,0.0,0.0,0,0.0
ABC_family proteins mediated transport,100,-0.0,0.0,0.0,0,0.0
Signaling by Retinoic Acid,100,-0.0,0.0,0.0,0,0.0
RA biosynthesis pathway,100,-0.0,0.0,0.0,0,0.0
The canonical retinoid cycle in rods twilight vision,100,-0.0,0.0,0.0,0,0.0
Visual phototransduction,100,-0.0,0.0,0.0,0,0.0
Retinoid metabolism and transport,1500,0.3334455210403917,0.5745427776521792,0.0,0,0.058187982756532544
Metabolism of fat_soluble vitamins,1500,0.3334455210403917,0.48718236127451037,0.0,0,0.058187982756532544
HS_GAG degradation,1300,0.05194072049486629,0.1994319210011962,0.0,0,0.010989966828356163
Diseases associated with glycosaminoglycan metabolism,100,-0.0,0.0,0.0,0,0.0
Defective B3GALT6 causes EDSP2 and SEMDJL1,100,-0.0,0.0,0.0,0,0.0
Defective B4GALT7 causes EDS progeroid type,100,-0.0,0.0,0.0,0,0.0
Defective B3GAT3 causes JDSSDHD,100,-0.0,0.0,0.0,0,0.0
A tetrasaccharide linker sequence is required for GAG synthesis,100,-0.0,0.0,0.0,0,0.0
Heparan sulfateslashheparin HS_GAG metabolism,1400,0.009826492517979402,0.009826492517979402,0.0,0,0.0020622262420029146
HS_GAG biosynthesis,100,-0.0,0.0,0.0,0,0.0
Chondroitin sulfateslashdermatan sulfate metabolism,100,-0.0,0.0,0.0,0,0.0
Chondroitin sulfate biosynthesis,100,-0.0,0.0,0.0,0,0.0
Keratan sulfate biosynthesis,1150,0.2727309519872042,1.8001498224312482,0.0,0,0.054359700621278095
Keratan sulfateslashkeratin metabolism,950,0.6375118398532623,5.925197602028563,0.0,0,0.11547526968074996
Diseases of glycosylation,100,-0.0,0.0,0.0,0,0.0
Diseases associated with O_glycosylation of proteins,100,-0.0,0.0,0.0,0,0.0
Defective B3GALTL causes Peters_plus syndrome PpS,850,0.25376729878252624,0.7881968105058401,0.0,0,0.05724148878271251
O_glycosylation of TSR domain_containing proteins,850,0.12847856119010595,0.33635892706959314,0.0,0,0.030792574240856664
O_linked glycosylation of mucins,100,-0.0,0.0,0.0,0,0.0
Termination of O_glycan biosynthesis,650,0.40851982925323316,2.985375505880614,0.0,0,0.09448254260434308
Defective GALNT12 causes colorectal cancer 1 CRCS1,100,-0.0,0.0,0.0,0,0.0
Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis HFTC,100,-0.0,0.0,0.0,0,0.0
Defective C1GALT1C1 causes Tn polyagglutination syndrome TNPS,100,-0.0,0.0,0.0,0,0.0
Elastic fibre formation,100,-0.0,0.0,0.0,0,0.0
Molecules associated with elastic fibres,100,-0.0,0.0,0.0,0,0.0
ECM proteoglycans,100,-0.0,0.0,0.0,0,0.0
Integrin cell surface interactions,800,0.3771011554025471,2.958964395379753,0.0,0,0.08205806104568457
Syndecan interactions,350,0.6007717550664724,7.190592382769147,0.0,0,0.1573105876053436
Non_integrin membrane_ECM interactions,350,0.17352205694379447,1.209543272181517,0.0,0,0.05548968931915625
Laminin interactions,100,-0.0,0.0,0.0,0,0.0
