,TopCut,minimum_MinuslogP_down,minimum_Pi_down,minimum_log2fc_down,minimum_MinuslogP_up,minimum_Pi_up,minimum_log2fc_up,minimum_log2fc_combined,minimum_MinuslogP_combined,minimum_Pi_combined
0,100,2.8601209135987635,4.310756377638401,0.5489999999999999,3.33161408331,4.17862157558425,0.584,0.5489999999999999,2.8601209135987635,4.17862157558425
1,150,2.8601209135987635,3.6327995494772103,0.39299999999999996,2.9430951486635273,3.1300105493279116,0.365,0.365,2.8601209135987635,3.1300105493279116
2,200,2.8601209135987635,3.1430305512898724,0.39299999999999996,2.9430951486635273,2.610166802645819,0.35,0.35,2.8601209135987635,2.610166802645819
3,250,2.812479279163537,2.7731045692552474,0.39299999999999996,1.8416375079047504,2.230251218034237,0.35,0.35,1.8416375079047504,2.230251218034237
4,300,2.812479279163537,2.455737361813579,0.354,1.8416375079047504,1.9990966939950965,0.35,0.35,1.8416375079047504,1.9990966939950965
5,350,2.374687549038326,2.1636341026943,0.307,1.7670038896078462,1.7841884772277992,0.312,0.307,1.7670038896078462,1.7841884772277992
6,400,2.374687549038326,1.9477330881188266,0.307,1.7670038896078462,1.6026320118809658,0.299,0.299,1.7670038896078462,1.6026320118809658
7,450,2.2781893847874533,1.777108539108053,0.292,1.747146969020107,1.4262424832026541,0.275,0.275,1.747146969020107,1.4262424832026541
8,500,2.2781893847874533,1.6628967377123032,0.292,1.709965388637482,1.2988774380488115,0.275,0.275,1.709965388637482,1.2988774380488115
9,550,2.0767559813697236,1.5578616379648742,0.27899999999999997,1.623423042943488,1.1852946410012823,0.275,0.275,1.623423042943488,1.1852946410012823
10,600,2.0767559813697236,1.4548069026528099,0.27899999999999997,1.6038006529042637,1.0917379548695763,0.25,0.25,1.6038006529042637,1.0917379548695763
11,650,2.0767559813697236,1.3598992606392997,0.27899999999999997,1.4921441283041692,1.0003613119421033,0.25,0.25,1.4921441283041692,1.0003613119421033
12,700,2.0767559813697236,1.2736893145294943,0.27899999999999997,1.3979400086720375,0.9201357595935744,0.25,0.25,1.3979400086720375,0.9201357595935744
13,750,2.0767559813697236,1.197202713947754,0.276,1.3098039199714864,0.8680258639209677,0.242,0.242,1.3098039199714864,0.8680258639209677
14,800,2.067526235322847,1.1291360840079987,0.276,1.3098039199714864,0.7987010655974804,0.242,0.242,1.3098039199714864,0.7987010655974804
15,850,1.4828041020500258,1.072901951787519,0.276,1.1605219526258015,0.7420982167830468,0.233,0.233,1.1605219526258015,0.7420982167830468
16,900,1.413412695328245,1.0023954788261342,0.276,1.1605219526258015,0.6896508178046992,0.23199999999999998,0.23199999999999998,1.1605219526258015,0.6896508178046992
17,950,1.413412695328245,0.9464463957974056,0.276,1.1605219526258015,0.6378792508696397,0.23,0.23,1.1605219526258015,0.6378792508696397
18,1000,1.413412695328245,0.8781861872457123,0.275,1.1605219526258015,0.6000353050836684,0.23,0.23,1.1605219526258015,0.6000353050836684
19,1050,1.413412695328245,0.8203168694818649,0.275,1.1007268126823961,0.5439012006883682,0.23,0.23,1.1007268126823961,0.5439012006883682
20,1100,1.413412695328245,0.7727301049790681,0.275,1.1007268126823961,0.500787370491529,0.23,0.23,1.1007268126823961,0.500787370491529
21,1150,1.413412695328245,0.723006468533483,0.275,1.0,0.45579517215902765,0.23,0.23,1.0,0.45579517215902765
22,1200,1.087246696328677,0.6766968656519532,0.275,1.0,0.4218073480384953,0.23,0.23,1.0,0.4218073480384953
23,1250,1.0501222959631251,0.6153425469255674,0.275,0.9030899869919435,0.3880426200439308,0.23,0.23,0.9030899869919435,0.3880426200439308
24,1300,1.00436480540245,0.5571355302365545,0.275,0.9030899869919435,0.35204804902965925,0.22899999999999998,0.22899999999999998,0.9030899869919435,0.35204804902965925
25,1350,0.9706162223147904,0.4875561799563367,0.27399999999999997,0.728158393463501,0.3170697710473231,0.22899999999999998,0.22899999999999998,0.728158393463501,0.3170697710473231
26,1400,0.8827287043442358,0.43680458086011176,0.27399999999999997,0.721246399047171,0.2697425847523741,0.22899999999999998,0.22899999999999998,0.721246399047171,0.2697425847523741
27,1450,0.749579997691106,0.3658510434633679,0.27399999999999997,0.6216020990518624,0.22471758427246974,0.22899999999999998,0.22899999999999998,0.6216020990518624,0.22471758427246974
28,1500,0.38090666937325723,0.12760373424004118,0.27399999999999997,0.3419886033428876,0.0854971508357219,0.22899999999999998,0.22899999999999998,0.3419886033428876,0.0854971508357219
