"TopCut"	"minimum_log2fc_down"	"minimum_MinuslogP_down"	"minimum_Pi_down"	"minimum_log2fc_up"	"minimum_MinuslogP_up"	"minimum_Pi_up"	"minimum_log2fc_combined"	"minimum_MinuslogP_combined"	"minimum_Pi_combined"	"maximum_MinuslogP_up"	"sum_MinuslogP_up"	"times_significant_up"	"maximum_MinuslogP_down"	"sum_MinuslogP_down"	"times_significant_down"	"maximum_MinuslogP_any"	"sum_MinuslogP_any"	"times_significant_any"	"maximum_MinuslogP_meanUPandDOWN"	"sum_MinuslogP_meanUPandDOWN"	"times_significant_meanUPandDOWN"
100	0.549	2.86012091359876	4.3107563776384	0.584	3.33161408331	4.17862157558425	0.549	2.86012091359876	0.549	0.917439617866006	43.3033179082399	0.00734394124847001	0.651684551231881	72.1839758335192	0	2.19981721509257	222.120629538099	0.130966952264382	0.917439617866006	43.3033179082399	0.00734394124847001
150	0.393	2.86012091359876	3.63279954947721	0.365	2.94309514866353	3.13001054932791	0.393	2.86012091359876	0.393	0.983670458546422	39.547732298054	0.00122399020807834	1.83331998953068	70.4943234112885	0.00611995104039168	1.79501743048329	186.967491136223	0.0367197062423501	0.983670458546422	39.547732298054	0.00122399020807834
200	0.393	2.86012091359876	3.14303055128987	0.35	2.94309514866353	2.61016680264582	0.393	2.61016680264582	0.393	2.97905879492297	37.0895413447932	0.00611995104039168	1.2274480774706	68.0516241121791	0.00734394124847001	0.900833241493638	155.13773107759	0.00611995104039168	2.97905879492297	37.0895413447932	0.00611995104039168
250	0.393	2.81247927916354	2.77310456925525	0.35	1.84163750790475	2.23025121803424	0.393	2.23025121803424	0.393	2.54397776959974	38.0666485540986	0.00489596083231334	1.83652406413949	55.5481150042235	0.00611995104039168	0.927092199990058	160.44407223882	0.0636474908200734	2.54397776959974	38.0666485540986	0.00489596083231334
300	0.354	2.81247927916354	2.45573736181358	0.35	1.84163750790475	1.9990966939951	0.354	1.9990966939951	0.354	2.19284608706056	36.3355902464681	0.00489596083231334	2.53137254024438	53.3201056346868	0.00244798041615667	1.09632840989136	140.643127239608	0.0526315789473684	2.19284608706056	36.3355902464681	0.00489596083231334
350	0.307	2.37468754903833	2.1636341026943	0.312	1.76700388960785	1.7841884772278	0.307	1.7841884772278	0.307	1.71773892834378	28.9403234186832	0.00734394124847001	3.27795417484243	47.0620257583195	0.00367197062423501	1.06628599853308	106.952114531698	0.0159118727050184	1.71773892834378	28.9403234186832	0.00734394124847001
400	0.307	2.37468754903833	1.94773308811883	0.299	1.76700388960785	1.60263201188097	0.307	1.60263201188097	0.307	1.42181610030629	25.0086999310596	0.00734394124847001	2.82309755356736	38.0859297870614	0.00244798041615667	1.67431441935011	120.002873473707	0.011015911872705	1.42181610030629	25.0086999310596	0.00734394124847001
450	0.292	2.27818938478745	1.77710853910805	0.275	1.74714696902011	1.42624248320265	0.292	1.42624248320265	0.292	1.33733140866757	27.6428252368069	0.00489596083231334	2.47670769102026	30.9944136895376	0.00244798041615667	1.16010282478964	96.0034172750127	0.00489596083231334	1.33733140866757	27.6428252368069	0.00489596083231334
500	0.292	2.27818938478745	1.6628967377123	0.275	1.70996538863748	1.29887743804881	0.292	1.29887743804881	0.292	1.08978391971848	22.5665000344396	0.00489596083231334	2.136359652131	24.0975806691703	0.00244798041615667	0.819627796165762	146.449452520611	0.0611995104039168	1.08978391971848	22.5665000344396	0.00489596083231334
550	0.279	2.07675598136972	1.55786163796487	0.275	1.62342304294349	1.18529464100128	0.279	1.18529464100128	0.279	0.840209827775506	19.1680579019683	0.00367197062423501	2.87807109310447	25.2524118462845	0.00244798041615667	1.2578890997567	152.501312324152	0.018359853121175	0.840209827775506	19.1680579019683	0.00367197062423501
