"Pathways"	"TopCut_highestMinuslogP_meanUPandDOWN"	"maximum_MinuslogP_meanUPandDOWN"	"sum_MinuslogP_meanUPandDOWN"	"times_significant_meanUPandDOWN"	"FirstTopCut_significant_meanUPandDOWN"	"PEBBA_score_meanUPandDOWN"	"TopCut_highestMinuslogP_minUPandDOWN"	"maximum_MinuslogP_maxUPandDOWN"	"sum_MinuslogP_maxUPandDOWN"	"times_significant_maxUPandDOWN"	"FirstTopCut_significant_minUPandDOWN"	"PEBBA_score_maxUPandDOWN"	"TopCut_highestMinuslogP_up"	"maximum_MinuslogP_up"	"sum_MinuslogP_up"	"times_significant_up"	"FirstTopCut_significant_up"	"PEBBA_score_up"	"TopCut_highestMinuslogP_down"	"maximum_MinuslogP_down"	"sum_MinuslogP_down"	"times_significant_down"	"FirstTopCut_significant_down"	"PEBBA_score_down"	"TopCut_highestMinuslogP_any"	"maximum_MinuslogP_any"	"sum_MinuslogP_any"	"times_significant_any"	"FirstTopCut_significant_any"	"PEBBA_score_any"
"ABC_family proteins mediated transport"	100	0.604736065499167	1.9375975283563	0	0	0.226890713228622	100	0.604736065499167	1.9375975283563	0	0	0.226890713228622	100	0.604736065499167	1.9375975283563	0	0	0.226890713228622	400	0.0596587619744678	0.686857615240651	0	0	0.0193046819028099	400	0.152596462510915	0.967693818296986	0	0	0.0471746402653203
"ABC transporters in lipid homeostasis"	100	0.660312321630782	1.99585240692595	0	0	0.241655032077252	100	0.660312321630782	1.99585240692595	0	0	0.241655032077252	100	0.660312321630782	1.99585240692595	0	0	0.241655032077252	100	0	0	0	0	0	100	0	0	0	0	0
"Abortive elongation of HIV_1 transcript in the absence of Tat"	650	0.0284745759093243	0.10247801308915	0	0	0.00790897834664147	150	0.248346499126852	1.51192847268471	0	0	0.0988474708936614	650	0.0284745759093243	0.10247801308915	0	0	0.00790897834664147	150	0.248346499126852	1.51192847268471	0	0	0.0988474708936614	100	0.467709860732708	4.41290207851888	0	0	0.186782374621071
"Acetylcholine Neurotransmitter Release Cycle"	100	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	800	0.187089239464114	0.954609202453415	0	0	0.0445692901723553
"Activated NOTCH1 Transmits Signal to the Nucleus"	250	0.185891243252413	0.689950866479449	0	0	0.0657214173351179	100	0.432520774977552	2.05177340022636	0	0	0.175564313646888	250	0.185891243252413	0.689950866479449	0	0	0.0657214173351179	100	0.432520774977552	2.05177340022636	0	0	0.175564313646888	100	1.68523236287631	11.3137141376723	0.206896551724138	100	0.407299326719858
"Activated PKN1 stimulates transcription of AR androgen receptor regulated genes KLK2 and KLK3"	1050	0.000862341850469868	0.00205150238787035	0	0	0.000203277088934648	1050	0.0313491513551788	0.178937705121341	0	0	0.00714976701639462	1050	0.000862341850469868	0.00205150238787035	0	0	0.000203277088934648	1100	0.0313491513551788	0.178937705121341	0	0	0.00714976701639462	100	0.510888143797809	2.69158564976543	0	0	0.200018755423244
"Activated point mutants of FGFR2"	100	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0
"activated TAK1 mediates p38 MAPK activation"	400	0.0585353138167231	0.292362146421306	0	0	0.0189516887452521	400	0.0585353138167231	0.292362146421306	0	0	0.0189516887452521	400	0.0585353138167231	0.292362146421306	0	0	0.0189516887452521	1450	0.00759898428137854	0.0146321591472409	0	0	0.00157453486299932	250	0.211302971385804	1.80401105896683	0	0	0.0737934868548866
"Activation of anterior HOX genes in hindbrain development during early embryogenesis"	700	0.00963922181001967	0.0223049359117351	0	0	0.00263125830718858	150	0.248346499126852	1.39668989064645	0	0	0.0988474708936614	700	0.00963922181001967	0.0223049359117351	0	0	0.00263125830718858	150	0.248346499126852	1.39668989064645	0	0	0.0988474708936614	200	0.578616167038071	6.40467725036881	0	0	0.181974908151655
"Activation of APCslashC and APCslashC:Cdc20 mediated degradation of mitotic proteins"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.255234434238033	1.56712601559662	0	0	0.112632573852422	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.255234434238033	1.56712601559662	0	0	0.112632573852422	100	0.53357665058821	3.720666904949	0	0	0.2067482521367
"Activation of ATR in response to replication stress"	750	0.0166514691987331	0.0349325939354373	0	0	0.00441703934786319	750	0.11429611059295	0.984814072353243	0	0	0.0288893817506197	750	0.0166514691987331	0.0349325939354373	0	0	0.00441703934786319	750	0.11429611059295	0.984814072353243	0	0	0.0288893817506197	100	0.837893492728677	5.46086270715099	0.0344827586206897	100	0.283689558355506
"Activation of BAD and translocation to mitochondria"	100	0	0	0	0	0	100	0.111642730528153	1.14418240045385	0	0	0.040926225851692	100	0	0	0	0	0	250	0.111642730528153	1.14418240045385	0	0	0.040926225851692	250	0.224403528343198	1.53515898328295	0	0	0.077875449600054
"Activation of BH3_only proteins"	100	0	0	0	0	0	100	0.111642730528153	0.992047343180294	0	0	0.040926225851692	100	0	0	0	0	0	250	0.111642730528153	0.992047343180294	0	0	0.040926225851692	250	0.207473504489137	1.31115608264111	0	0	0.0725901393427106
"Activation of GABAB receptors"	1350	0.0301630240196178	0.163564679604304	0	0	0.0063566897986044	850	0.0473994531081529	0.367050481918687	0	0	0.0118232470584403	1350	0.0301630240196178	0.163564679604304	0	0	0.0063566897986044	850	0.0473994531081529	0.367050481918687	0	0	0.0118232470584403	1350	0.00222802400934327	0.00721341360553806	0	0	0.000476130102547075
"Activation of gene expression by SREBF SREBP"	100	0.525976144350209	1.70995183632191	0	0	0.20451089865878	100	0.525976144350209	1.70995183632191	0	0	0.20451089865878	100	0.525976144350209	1.70995183632191	0	0	0.20451089865878	150	0.207168130023784	1.70962906027788	0	0	0.084107186375047	100	0.368730963013283	2.45603633507311	0	0	0.154194272757742
"Activation of G protein gated Potassium channels"	1050	0.000862341850469868	0.00205150238787035	0	0	0.000203277088934648	850	0.0473994531081529	0.373108438544757	0	0	0.0118232470584403	1050	0.000862341850469868	0.00205150238787035	0	0	0.000203277088934648	850	0.0473994531081529	0.373108438544757	0	0	0.0118232470584403	1350	0.00222802400934327	0.00721341360553806	0	0	0.000476130102547075
"Activation of HOX genes during differentiation"	700	0.00963922181001967	0.0223049359117351	0	0	0.00263125830718858	150	0.248346499126852	1.39668989064645	0	0	0.0988474708936614	700	0.00963922181001967	0.0223049359117351	0	0	0.00263125830718858	150	0.248346499126852	1.39668989064645	0	0	0.0988474708936614	200	0.578616167038071	6.40467725036881	0	0	0.181974908151655
"Activation of IRF3slashIRF7 mediated by TBK1slashIKK epsilon"	900	0.276179000694552	1.54874700971274	0	0	0.0603307212811171	250	0.442796349113667	3.03383460086264	0	0	0.138606265468685	900	0.276179000694552	1.54874700971274	0	0	0.0603307212811171	250	0.442796349113667	3.03383460086264	0	0	0.138606265468685	100	0.975458182637225	6.80911420708154	0.0344827586206897	100	0.31149021491897
"Activation of Kainate Receptors upon glutamate binding"	1050	0.000862341850469868	0.00205150238787035	0	0	0.000203277088934648	300	0.110204083404141	0.888409242015384	0	0	0.0381942644111041	1050	0.000862341850469868	0.00205150238787035	0	0	0.000203277088934648	300	0.110204083404141	0.888409242015384	0	0	0.0381942644111041	550	0.0958178185571627	0.569640487740207	0	0	0.0273138372409851
"Activation of Matrix Metalloproteinases"	200	0.245876304164422	1.08107517211056	0	0	0.0902907066577304	100	0.432520774977552	1.96623767402083	0	0	0.175564313646888	200	0.245876304164422	1.08107517211056	0	0	0.0902907066577304	100	0.432520774977552	1.96623767402083	0	0	0.175564313646888	100	0	0	0	0	0
"Activation of NF_kappaB in B cells"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.248860220756543	1.64329968775773	0	0	0.110155524950121	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.248860220756543	1.64329968775773	0	0	0.110155524950121	100	0.514415509823381	5.02254133811405	0	0	0.20107503503605
"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	650	0.0284745759093243	0.127090787200246	0	0	0.00790897834664147	650	0.0287103299520825	0.146019777035856	0	0	0.00790897834664147	650	0.0284745759093243	0.127090787200246	0	0	0.00790897834664147	1150	0.0287103299520825	0.146019777035856	0	0	0.0064452382397078	250	0.416171473573766	3.25333555140436	0	0	0.131892493957883
"Activation of SMO"	100	0	0	0	0	0	100	0.469737828854372	2.16091198973451	0	0	0.187416926337682	100	0	0	0	0	0	100	0.469737828854372	2.16091198973451	0	0	0.187416926337682	100	0	0	0	0	0
"Activation of the mRNA upon binding of the cap_binding complex and eIFs and subsequent binding to 43S"	100	0	0	0	0	0	100	0.000486329504421107	0.00218824399222808	0	0	0.000116813750809814	100	0	0	0	0	0	1000	0.000486329504421107	0.00218824399222808	0	0	0.000116813750809814	100	0.801295594199789	10.2218473362896	0.0689655172413793	100	0.275626403465755
"Activation of the pre_replicative complex"	800	0.00796213820605535	0.0182811247367042	0	0	0.00207148368913084	550	0.0721022812829101	0.783649489866403	0	0	0.0207952024844719	800	0.00796213820605535	0.0182811247367042	0	0	0.00207148368913084	550	0.0721022812829101	0.783649489866403	0	0	0.0207952024844719	100	0.950219229637238	7.81480327130162	0.0689655172413793	100	0.306671876173376
"Acyl chain remodelling of PC"	450	0.0563098633968081	0.22136120006144	0	0	0.0175418735224042	100	0.0563098633968081	0.22136120006144	0	0	0.0175418735224042	450	0.0563098633968081	0.22136120006144	0	0	0.0175418735224042	100	0	0	0	0	0	500	0.151658572771438	0.937513125610975	0	0	0.0434843730651817
"Acyl chain remodelling of PE"	450	0.0563098633968081	0.232073085833105	0	0	0.0175418735224042	100	0.0563098633968081	0.232073085833105	0	0	0.0175418735224042	450	0.0563098633968081	0.232073085833105	0	0	0.0175418735224042	100	0	0	0	0	0	500	0.15778250936353	1.0007850297837	0	0	0.0451055090677732
"Acyl chain remodelling of PG"	100	0	0	0	0	0	100	0.0252490457586111	0.0719610965792501	0	0	0.00518584501743014	100	0	0	0	0	0	1450	0.0252490457586111	0.0719610965792501	0	0	0.00518584501743014	1100	0.0260444546261913	0.0578617874421724	0	0	0.00595563070205939
"Acyl chain remodelling of PI"	1050	0.000862341850469868	0.00271001404249529	0	0	0.000203277088934648	100	0.000862341850469868	0.00271001404249529	0	0	0.000203277088934648	1050	0.000862341850469868	0.00271001404249529	0	0	0.000203277088934648	100	0	0	0	0	0	100	0	0	0	0	0
"Acyl chain remodelling of PS"	850	0.194048312766379	1.27629518216956	0	0	0.0450473685269825	100	0.194048312766379	1.27629518216956	0	0	0.0450473685269825	850	0.194048312766379	1.27629518216956	0	0	0.0450473685269825	100	0	0	0	0	0	100	0	0	0	0	0
"Adherens junctions interactions"	450	0.0563098633968081	0.22136120006144	0	0	0.0175418735224042	450	0.0563098633968081	0.22136120006144	0	0	0.0175418735224042	450	0.0563098633968081	0.22136120006144	0	0	0.0175418735224042	1450	0.0252490457586111	0.109006355546363	0	0	0.00518584501743014	1300	0.00334374202348208	0.0105571556290201	0	0	0.000724811807339429
"ADP signalling through P2Y purinoceptor 1"	1300	0.092555818784005	0.489333025391434	0	0	0.0191945913699168	100	0.432520774977552	1.87837214714392	0	0	0.175564313646888	1300	0.092555818784005	0.489333025391434	0	0	0.0191945913699168	100	0.432520774977552	1.87837214714392	0	0	0.175564313646888	100	0	0	0	0	0
"ADP signalling through P2Y purinoceptor 12"	1050	0.000862341850469868	0.00205150238787035	0	0	0.000203277088934648	850	0.0473994531081529	0.373108438544757	0	0	0.0118232470584403	1050	0.000862341850469868	0.00205150238787035	0	0	0.000203277088934648	850	0.0473994531081529	0.373108438544757	0	0	0.0118232470584403	100	0	0	0	0	0
"Adrenalinenoradrenaline inhibits insulin secretion"	1050	0.000862341850469868	0.00205150238787035	0	0	0.000203277088934648	850	0.0473994531081529	0.374906571817173	0	0	0.0118232470584403	1050	0.000862341850469868	0.00205150238787035	0	0	0.000203277088934648	850	0.0473994531081529	0.374906571817173	0	0	0.0118232470584403	100	0	0	0	0	0
"Aflatoxin activation and detoxification"	200	0.767898738894496	3.56220061217874	0.0344827586206897	200	0.222023853152158	200	0.767898738894496	3.56220061217874	0.0344827586206897	0	0.222023853152158	200	0.767898738894496	3.56220061217874	0.0344827586206897	200	0.222023853152158	800	0.0501842618712656	0.589805085579292	0	0	0.0127848416780313	100	0	0	0	0	0
